Psys,Ffuel,Porosity,Dparticle,Alpha,Rflat,Tbed,Decay,Fstruct
224465.0,0.6487499999999999,0.406125,0.00311,43.605,0.167,923.25,0.0078825,1.8468750000000005
260881.25,0.5803125,0.42453125,0.0044275,40.66875,0.31875,1400.1875,0.003424375,0.65796875
196190.0,0.6095,0.29225,0.001732,28.89,0.194,1373.7,0.009951,0.83275
169865.0,0.60475,0.295375,0.002566,41.325,0.881,1614.85,0.0071615,1.521375
117410.0,0.7885,0.30875,0.002828,18.33,0.198,518.3,0.004897,1.79875
422195.0,0.80825,0.434875,0.004966,29.745,0.721,814.05,0.0050335,0.586875
385681.25,0.5665625,0.46796875,0.0025825,35.79375,1.16875,943.5625,0.003721875,1.6926562500000002
164795.0,0.6657500000000001,0.292875,0.00471,25.125,1.219,1298.95,0.0053555,1.3533750000000002
444668.75,0.8459375,0.41265625,0.0025175,21.39375,1.22875,854.1875,0.008149375,0.76078125
360575.0,0.72575,0.375625,0.004802,40.725,0.6890000000000001,1132.5500000000002,0.0079315,1.531875
236555.0,0.61775,0.372125,0.002898,37.425,1.351,650.25,0.0092404999999999,0.355875
191656.25,0.9034375,0.3389062499999999,0.0039225,40.40625,0.15625,800.5625,0.008508125,1.57453125
285305.0,0.71775,0.388375,0.002586,32.295,0.685,1601.85,0.0033535,0.474875
446131.25,0.8871875,0.43359375,0.0024925,36.54375,1.90875,828.1875,0.006775625,1.53296875
431555.0,0.6757500000000001,0.490625,0.002718,15.495,0.785,648.95,0.0063985,0.599125
455735.0,0.56225,0.274375,0.004094,18.735,1.5950000000000002,1053.25,0.0032275,1.262375
167768.75,0.6571875,0.29390625,0.0026475,42.76875,1.85875,1457.0625,0.006906875,1.45203125
408935.0,0.67975,0.370125,0.002278,31.335,0.645,845.25,0.0040045,0.303375
234605.0,0.62625,0.277875,0.004382,40.515,1.173,1688.95,0.0097445,1.972875
176690.0,0.5185,0.39875,0.00198,38.97,0.402,825.1,0.004995,0.57725
398356.25,0.7303125,0.44734375,0.0014575,35.118750000000006,0.37375,1200.3125,0.006381875,1.14578125
241868.75,0.6728125,0.48578125,0.0036425,29.26875,1.38625,932.1875,0.004798125,1.38203125
410105.0,0.52875,0.398875,0.003374,27.555,0.285,1613.55,0.0087015,1.7908750000000002
136910.0,0.9625,0.4922499999999999,0.002084,32.849999999999994,1.082,1358.1,0.009755,0.27275
129110.0,0.7535000000000001,0.43425,0.001308,17.43,1.382,435.1,0.003525,0.84325
278090.0,0.6285000000000001,0.41675,0.003284,24.75,0.626,461.1,0.007347,1.45575
433700.0,0.605,0.3725,0.001088,28.5,0.812,1515.4,0.00783,1.5835
451445.0,0.70775,0.342125,0.003666,43.905,0.667,502.05,0.0080434999999999,1.923875
267365.0,0.56925,0.473875,0.004942,30.165000000000003,1.5790000000000002,984.35,0.0091845,1.7331249999999998
393968.75,0.7021875,0.41296875,0.0011225,42.09375,1.2112500000000002,867.1875,0.005953125,0.5879687499999999
329131.25,0.6621874999999999,0.27859375,0.0031475,21.80625,0.42625,902.9375,0.005550625,0.49390625
387631.25,0.5290625,0.32078125,0.0040975,20.90625,0.71875,1159.6875,0.003231875,1.39734375
224465.0,0.62125,0.386625,0.002142,25.335,0.085,711.3499999999999,0.0085195,1.027875
229730.0,0.9105,0.44125,0.001116,42.510000000000005,0.086,1147.5,0.009069,0.26575
228170.0,0.5975,0.36975,0.002764,21.33,1.242,1280.1,0.003833,1.36125
375590.0,0.8095,0.4317499999999999,0.004748,30.03,1.862,1306.1,0.005401,1.23875
338393.75,0.6815625000000001,0.27890625,0.0039775,18.76875,1.50875,1179.1875,0.007265625,1.25296875
388850.0,0.8995,0.36225,0.002556,39.57,0.498,455.9,0.009139,1.16525
193850.0,0.7055,0.39925,0.003668,44.85,0.802,1365.9,0.008677,0.45825
391775.0,0.51525,0.293375,0.003578,31.185,0.243,1309.35,0.0060205,1.729625
145343.75,0.9378125,0.36671875,0.0041725,15.80625,1.1487500000000002,636.4375,0.007860625,1.85453125
311435.0,0.59975,0.475125,0.002474,32.985,0.655,1181.9499999999998,0.0065035,0.340125
472505.0,0.89475,0.329625,0.002122,21.165,0.5650000000000001,821.85,0.0045365,0.331375
328205.0,0.59475,0.398625,0.00391,20.865,0.583,1594.0500000000002,0.0091355,1.054125
280820.0,0.591,0.4085,0.003328,21.78,1.172,413.0,0.003266,1.3525
460610.0,0.5775,0.40525,0.004428,29.85,0.006,463.7,0.006311,1.6727500000000002
343610.0,0.6475,0.4922499999999999,0.002748,44.25,1.23,570.3,0.009629,1.79525
241430.0,0.8634999999999999,0.40325,0.004292,25.53,1.334,851.1,0.004015,1.63075
422731.25,0.9590625,0.40421875,0.0023975,24.09375,0.28875,1162.9375,0.009995625,0.55953125
384365.0,0.62675,0.360375,0.003698,25.665,1.439,526.75,0.0032765,1.027875
444425.0,0.55525,0.446875,0.004854,41.865,0.901,1071.4499999999998,0.0051944999999999,1.010375
312410.0,0.5985,0.37975,0.001348,43.11,1.078,1441.3,0.008635,1.98425
200090.0,0.6505,0.33025,0.003244,26.37,0.41,1586.9,0.007879,1.57825
405815.0,0.91975,0.397625,0.002134,19.365,1.465,1532.9499999999998,0.0059995,0.851125
475625.0,0.75075,0.483875,0.001286,20.505,0.863,1311.95,0.0065945,0.7093750000000001
274043.75,0.7946875,0.38984375,0.0039825,27.05625,1.83375,413.8125,0.006898125,0.34515625
